	tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
2064581	tt2140687	short	The Raining Afternoon	The Raining Afternoon	0	2011	\N	12	Drama,Short
4830860	tt8065870	movie	Officer	Officer	0	2018	\N	122	Action
557869	tt0578117	tvEpisode	Picture If You Will	Picture If You Will	0	2000	\N	46	Adventure,Drama,Sci-Fi
695143	tt0717123	tvEpisode	Clay Allison	Clay Allison	0	1959	\N	30	Western
3481552	tt5121568	tvMovie	Edgar Neville: Emparedado entre comillas	Edgar Neville: Emparedado entre comillas	0	2000	\N	41	Biography,Documentary
630594	tt0651658	tvEpisode	Frankenstein's Castle of Freaks	Frankenstein's Castle of Freaks	0	1984	\N	103	Comedy,Horror
4132349	tt6569084	tvEpisode	Das Biberproblem	Das Biberproblem	0	2015	\N	5	Comedy
2542629	tt2992332	short	Pariacaca	Pariacaca	0	2012	\N	4	Drama,Short
2444271	tt2758120	short	Mayfly	Mayfly	0	2013	\N	14	Drama,Sci-Fi,Short
3761838	tt5747362	short	Cinema Emperor	Cinema Emperor	0	2014	\N	13	Short
3863898	tt5976630	short	Blood Relic	Blood Relic	0	2012	\N	17	Horror,Short
179359	tt0185823	tvSeries	Mild Poison	Suave Veneno	0	1999	\N	60	Crime,Drama,Romance
398318	tt0414584	video	Tera Tera Tera	Tera Tera Tera	1	2004	\N	122	Adult
1580696	tt1636185	tvEpisode	Episode #25.220	Episode #25.220	0	2009	\N	30	Game-Show
155065	tt0159893	tvSeries	Men of Annapolis	Men of Annapolis	0	1957	\N	30	Drama
1440131	tt1490518	video	A Secular Pilgrim in Jerusalem	A Secular Pilgrim in Jerusalem	0	2009	\N	49	Biography,Documentary
116917	tt0119588	movie	The Wax Mask	M.D.C. - Maschera di cera	0	1997	\N	98	Horror
3656676	tt5511718	tvSeries	Muzhestvo	Muzhestvo	0	1981	\N	453	Drama
3739565	tt5696754	short	Private I	Private I	0	2016	\N	9	Mystery,Short
2514957	tt2925304	video	Karma	Karma	0	2008	\N	10	Short
65992	tt0067303	movie	Don't Turn the Other Cheek	¡Viva la muerte... tua!	0	1971	\N	103	Action,Adventure,Comedy
72640	tt0074140	movie	Bonjour Amour	L'amour en herbe	0	1977	\N	98	Drama
279707	tt0291654	tvSeries	Rad van fortuin	Rad van fortuin	0	1989	\N	30	Game-Show
1464638	tt1515918	video	Teachers	Teachers	1	2009	\N	186	Adult,Comedy
1430653	tt1480725	short	Asfixia	Asfixia	0	2006	\N	5	Drama,Short
425022	tt0441956	short	...sigo empeñado en decir	...sigo empeñado en decir	0	1998	\N	20	Documentary,Short
